"product_code","business_group","supplier","gender","product_group","category","brand","image","price","price_kr","status","size","stock","marketplaces","product_name","color","description","dimension","weight","keyword","material_china","material_english"
"ZL-5H-NeonPink","Partnership","Maxstar","Women","Shoes","Heels","Maxstar","http://images.becomeus.com/Maxstar/ZL-5H/NeonPink/3.jpg","94","17000","Active","225|230|235|240|245|250","0","淘宝网, 速卖通, Amazon.com, Amazon.uk, MaxstarStore, eBay and etc","Maxstar ZL 5-Holes Canvas Wedge Heels Sneakers Neon Pink","NeonPink","Interested in adding some stunning color to your wardrobe? These flourescent Wedge Heel Sneakers in green are the perfect compliment to your unique style. These comfortable and lightweight wedge sneakers can be strung with funky laces or just left white. Shine bright!","Width-8.5cm|Height-12cm|Heel-5.5cm|Platform-2cm","900","sneakers,fashion sneakers,wedge sneakers,high heel sneakers,casual sneakers,casual high heel sneakers","Upper-Canvas|Lining-Cotton Blend|Outsole-EVA","鞋面：帆布
内衬：棉布
鞋底：EVA"
"ZL-5H-NeonOrange","Partnership","Maxstar","Women","Shoes","Heels","Maxstar","http://images.becomeus.com/Maxstar/ZL-5H/NeonOrange/3.jpg","94","17000","Active","225|230|235|240|245|250","0","淘宝网, 速卖通, Amazon.com, Amazon.uk, MaxstarStore, eBay and etc","Maxstar ZL 5-Holes Canvas Wedge Heels Sneakers Neon Orange","NeonOrange","Interested in adding some stunning color to your wardrobe? These flourescent Wedge Heel Sneakers in green are the perfect compliment to your unique style. These comfortable and lightweight wedge sneakers can be strung with funky laces or just left white. Shine bright!","Width-8.5cm|Height-12cm|Heel-5.5cm|Platform-2cm","900","sneakers,fashion sneakers,wedge sneakers,high heel sneakers,casual sneakers,casual high heel sneakers","Upper-Canvas|Lining-Cotton Blend|Outsole-EVA","鞋面：帆布
鞋底：EVA"
"ZL-5H-NeonGreen","Partnership","Maxstar","Women","Shoes","Heels","Maxstar","http://images.becomeus.com/Maxstar/ZL-5H/NeonGreen/3.jpg","94","17000","Active","225|230|235|240|245|250","0","淘宝网, 速卖通, Amazon.com, Amazon.uk, MaxstarStore, eBay and etc","Maxstar ZL 5-Holes Canvas Wedge Heels Sneakers Neon Green","NeonGreen","Interested in adding some stunning color to your wardrobe? These flourescent Wedge Heel Sneakers in green are the perfect compliment to your unique style. These comfortable and lightweight wedge sneakers can be strung with funky laces or just left white. Shine bright!","Width-8.5cm|Height-12cm|Heel-5.5cm|Platform-2cm","900","sneakers,fashion sneakers,wedge sneakers,high heel sneakers,casual sneakers,casual high heel sneakers","Upper-Canvas|Lining-Cotton Blend|Outsole-EVA","鞋面：帆布
鞋底：EVA"
"Wh-Long-White","Partnership","Maxstar","Women","Shoes","Boots","Maxstar","http://images.becomeus.com/Maxstar/Wh-Long/White/3.jpg","194","35000","Active","225|230|235|240|245","0","淘宝网, 速卖通, Amazon.com, Amazon.uk, MaxstarStore, eBay and etc","Maxstar WH 4-Belts Platform Wedge Heels Long Boots White","White","These chunky wedge heels are sure to turn heads. Made of synthetic leather, these badass wedges kick up dust on your enemies and go great with a little black dress. Zipper closure and belted top provide easy, secure access.","Width-7.8cm|Height-40cm|Heel-10cm|Platform-3cm","900","boots,women boots,fashion women boots,casual boots,platform wedge boots,platform boots,fashion platform boots,casual platform boots,fashion platform boots,long boots,casual long boots,fashion long boots,wedge boots,fashion wedge boots,casual wedge boots,fashion women wedge boots,casual wedge boots","Upper-Synthetic Leather|Lining-Cotton Blend|Outsole-EVA","鞋面：人造皮
鞋底：EVA"
"Wh-Long-Black","Partnership","Maxstar","Women","Shoes","Boots","Maxstar","http://images.becomeus.com/Maxstar/Wh-Long/Black/3.jpg","194","35000","Active","225|230|235|240|245","0","淘宝网, 速卖通, Amazon.com, Amazon.uk, MaxstarStore, eBay and etc","Maxstar WH 4-Belts Platform Wedge Heels Long Boots Black","Black","These chunky wedge heels are sure to turn heads. Made of synthetic leather, these badass wedges kick up dust on your enemies and go great with a little black dress. Zipper closure and belted top provide easy, secure access.","Width-7.8cm|Height-40cm|Heel-10cm|Platform-3cm","900","boots,women boots,fashion women boots,casual boots,platform wedge boots,platform boots,fashion platform boots,casual platform boots,fashion platform boots,long boots,casual long boots,fashion long boots,wedge boots,fashion wedge boots,casual wedge boots,fashion women wedge boots,casual wedge boots","Upper-Synthetic Leather|Lining-Cotton Blend|Outsole-EVA","鞋面：人造皮
鞋底：EVA"
"Wh-3Band-White","Partnership","Maxstar","Women","Shoes","Boots","Maxstar","http://images.becomeus.com/Maxstar/Wh-3Band/White/3.jpg","155","28000","Active","225|230|235|240|245","0","淘宝网, 速卖通, Amazon.com, Amazon.uk, MaxstarStore, eBay and etc","Maxstar WH 3-Belts Platform Wedge Heels Middle Boots White","White","These chunky wedge heels are sure to turn heads. Made of synthetic leather, these badass wedges kick up dust on your enemies and go great with a little black dress. Zipper closure and belted top provide easy, secure access.","Width-7.8cm|Height-19.5cm|Heel-9.5cm|Platform-2cm","900","boots,women boots,fashion women boots,casual boots,platform wedge boots,platform boots,fashion platform boots,casual platform boots,fashion platform boots,wedge boots,fashion wedge boots,casual wedge boots,fashion women wedge boots,casual wedge boots,belts boots,belts platform boots,fashion belt platform","Upper-Synthetic Leather|Lining-Cotton Blend|Outsole-EVA","鞋面：人造皮
鞋底：EVA"
"Wh-3Band-Black","Partnership","Maxstar","Women","Shoes","Boots","Maxstar","http://images.becomeus.com/Maxstar/Wh-3Band/Black/3.jpg","155","28000","Active","225|230|235|240|245","0","淘宝网, 速卖通, Amazon.com, Amazon.uk, MaxstarStore, eBay and etc","Maxstar WH 3-Belts Platform Wedge Heels Middle Boots Black","Black","These chunky wedge heels are sure to turn heads. Made of synthetic leather, these badass wedges kick up dust on your enemies and go great with a little black dress. Zipper closure and belted top provide easy, secure access.","Width-7.8cm|Height-19.5cm|Heel-9.5cm|Platform-2cm","900","boots,women boots,fashion women boots,casual boots,platform wedge boots,platform boots,fashion platform boots,casual platform boots,fashion platform boots,wedge boots,fashion wedge boots,casual wedge boots,fashion women wedge boots,casual wedge boots,belts boots,belts platform boots,fashion belt platform","Upper-Synthetic Leather|Lining-Cotton Blend|Outsole-EVA","鞋面：人造皮
鞋底：EVA"
"SAM-7H-V-Span-White","Partnership","Maxstar","Unisex","Shoes","Fashion Sneakers","Maxstar","http://images.becomeus.com/Maxstar/SAM-7H-V-Span/White/g.jpg","100","18000","Active","225|230|235|240|245|250|255|260|265|270","0","淘宝网, 速卖通, Amazon.com, Amazon.uk, MaxstarStore, eBay and etc","Maxstar SAM-7H V-Spandex Platform Wedge Slip-Ons White","White","Casual and sporty style, this wedge sneakers feature 6cm heel height and low top slip-ons closure, wear this sneaker to add your confidence and the finest canvas fabric will treat your feet comfortable.","Width-8.5cm|Height-11cm|Heel-6cm|Platform-2cm","900","sneakers,women sneakers,slip-ons,women slip-ons,fashion women sneakers,fashion women slip-ons,platform sneakers,fashion platform sneakers,maxstar sneakers,maxstar slip-ons,maxstar women slip-ons,casual sneakers,casual women slip-ons,casual women sneakers,canvas,fashion canvas shoes,casual canvas shoes,spandex,spandex slip-on","Upper-Synthetic Leather|Lining-Cotton Blend|Outsole-EVA","鞋面：
鞋底："
"SAM-7H-V-Span-NeonPink","Partnership","Maxstar","Unisex","Shoes","Fashion Sneakers","Maxstar","http://images.becomeus.com/Maxstar/SAM-7H-V-Span/NeonPink/g.jpg","100","18000","Active","225|230|235|240|245|250|255|260|265|270","0","淘宝网, 速卖通, Amazon.com, Amazon.uk, MaxstarStore, eBay and etc","Maxstar SAM-7H V-Spandex Platform Wedge Slip-Ons Neon Pink","NeonPink","Casual and sporty style, this wedge sneakers feature 6cm heel height and low top slip-ons closure, wear this sneaker to add your confidence and the finest canvas fabric will treat your feet comfortable.","Width-8.5cm|Height-11cm|Heel-6cm|Platform-2cm","900","sneakers,women sneakers,slip-ons,women slip-ons,fashion women sneakers,fashion women slip-ons,platform sneakers,fashion platform sneakers,maxstar sneakers,maxstar slip-ons,maxstar women slip-ons,casual sneakers,casual women slip-ons,casual women sneakers,canvas,fashion canvas shoes,casual canvas shoes,spandex,spandex slip-on","Upper-Canvas|Lining-Cotton Blend|Outsole-EVA","鞋面：
鞋底："
"SAM-7H-V-Span-NeonOrange","Partnership","Maxstar","Unisex","Shoes","Fashion Sneakers","Maxstar","http://images.becomeus.com/Maxstar/SAM-7H-V-Span/NeonOrange/g.jpg","100","18000","Active","225|230|235|240|245|250|255|260|265|270","0","淘宝网, 速卖通, Amazon.com, Amazon.uk, MaxstarStore, eBay and etc","Maxstar SAM-7H V-Spandex Platform Wedge Slip-Ons Neon Orange","NeonOrange","Casual and sporty style, this wedge sneakers feature 6cm heel height and low top slip-ons closure, wear this sneaker to add your confidence and the finest canvas fabric will treat your feet comfortable.","Width-8.5cm|Height-11cm|Heel-6cm|Platform-2cm","900","sneakers,women sneakers,slip-ons,women slip-ons,fashion women sneakers,fashion women slip-ons,platform sneakers,fashion platform sneakers,maxstar sneakers,maxstar slip-ons,maxstar women slip-ons,casual sneakers,casual women slip-ons,casual women sneakers,canvas,fashion canvas shoes,casual canvas shoes,spandex,spandex slip-on","Upper-Canvas|Lining-Cotton Blend|Outsole-EVA","鞋面：
鞋底："
